02/06/21;16:47:50;1/00018403;Cartao Crédito;59,34
02/06/21;16:53:26;1/00018404;Cartao Crédito;24,58
02/06/21;17:01:36;1/00018405;Cartao  Débito;29,19
02/06/21;17:06:38;1/00018406;Dinheiro;15,49
02/06/21;17:15:11;1/00018407;Cartao Crédito;5,0
02/06/21;17:17:51;1/00018408;Cartao  Débito;12,21
02/06/21;17:22:06;1/00018409;Cartao Crédito;17,11
02/06/21;17:35:08;1/00018410;Cartao  Débito;39,46
02/06/21;17:41:43;1/00018411;Cartao  Débito;37,0
02/06/21;17:43:24;1/00018412;Cartao  Débito;40,42
02/06/21;17:50:17;1/00018413;Cartao Crédito;8,26
02/06/21;17:51:20;1/00018414;Cartao Crédito;37,0
02/06/21;17:56:52;1/00018415;Cartao  Débito;13,06
02/06/21;17:58:03;1/00018416;Cartao  Débito;5,77
02/06/21;17:59:39;1/00018417;Cartao Crédito;23,81
02/06/21;18:04:06;1/00018418;Cartao  Débito;23,9
02/06/21;18:04:47;1/00018419;Cartao  Débito;41,5
02/06/21;18:06:46;1/00018420;Cartao  Débito;19,0
02/06/21;18:07:37;1/00018421;Cartao Crédito;19,22
02/06/21;18:08:16;1/00018422;Cartao  Débito;18,76
02/06/21;18:11:00;1/00018423;Cartao Crédito;57,98
02/06/21;18:15:26;1/00018424;Cartao  Débito;4,4
02/06/21;18:19:06;1/00018425;Cartao Crédito;5,53
02/06/21;18:38:08;1/00018426;Cartao Crédito;21,92
02/06/21;18:40:44;1/00018427;Cartao Crédito;25,75
02/06/21;18:41:58;1/00018428;Cartao Crédito;9,0
02/06/21;18:46:17;1/00018429;Cartao Crédito;26,08
02/06/21;18:58:55;1/00018430;Cartao Crédito;31,02
02/06/21;19:02:02;1/00018431;Cartao Crédito;37,78
02/06/21;19:20:36;1/00018432;Cartao Crédito;13,22
02/06/21;19:28:04;1/00018433;Cartao  Débito;12,5
02/06/21;19:30:58;1/00018434;Cartao  Débito;78,15
02/06/21;19:41:30;1/00018435;Cartao Crédito;27,0
02/06/21;19:44:13;1/00018436;Cartao Crédito;36,94
02/06/21;19:49:06;1/00018437;Cartao Crédito;7,5
02/06/21;07:07:07;39681;Dinheiro;1,55
02/06/21;07:11:04;39682;Dinheiro;5,65
02/06/21;07:22:46;39684;Dinheiro;3,51
02/06/21;07:25:09;39685;Dinheiro;4,17
02/06/21;07:25:47;39686;Dinheiro;12,68
02/06/21;07:32:00;39688;Dinheiro;2,92
02/06/21;07:44:28;39691;Dinheiro;8,0
02/06/21;07:57:41;39692;Dinheiro;2,98
02/06/21;08:29:49;39695;Dinheiro;14,4
02/06/21;08:32:26;39696;Dinheiro;1,49
02/06/21;09:42:39;39708;Dinheiro;7,5
02/06/21;09:55:32;39710;Dinheiro;15,19
02/06/21;10:06:59;39713;Dinheiro;23,5
02/06/21;10:07:55;39714;Dinheiro;12,0
02/06/21;12:25:18;39729;Dinheiro;49,3
