1107;BOLO INDIANO;KG;01/06/21;18:17:36;1/00018342;1,27;        35,9;0,0;        0,0;45,59
2086;MINI PASTEL P/FESTA;UN;01/06/21;18:17:36;1/00018342;30,0;        0,5;0,0;        0,0;15,0
1470;MINI SALGADINHOS P/  FESTA;UN;01/06/21;18:17:36;1/00018342;70,0;        0,46;0,0;        0,0;32,2
1905;COCA COLA SEM ACUCAR 2L;UN;01/06/21;18:17:36;1/00018342;1,0;        10,5;0,0;        0,0;10,5
1042;PAO FRANCES;KG;01/06/21;18:19:18;1/00018343;0,24;        11,9;0,0;        0,0;2,86
1000;MERCADORIAS DIVERAS;DV;01/06/21;18:19:18;1/00018343;1,0;        9,0;0,0;        0,0;9,0
1000;MERCADORIAS DIVERAS;DV;01/06/21;18:19:18;1/00018343;1,0;        12,0;0,0;        0,0;12,0
1006;MINI FOLHEADOS;KG;01/06/21;18:19:18;1/00018343;0,06;        52,9;0,0;        0,0;3,17
1002;EMPADAS DIVERSAS;UN;01/06/21;18:19:18;1/00018343;3,0;        6,0;0,0;        0,0;18,0
1000;MERCADORIAS DIVERAS;DV;01/06/21;18:19:18;1/00018343;1,0;        2,0;0,0;        0,0;2,0
1705;DINO ANIMAL DE PLASTICO;UN;01/06/21;18:24:49;1/00018344;1,0;        12,0;0,0;        0,0;12,0
1411;EXPRESSO ESPECIAL;UN;01/06/21;18:24:49;1/00018344;1,0;        7,0;0,0;        0,0;7,0
1595;CHA GELADO;UN;01/06/21;18:24:49;1/00018344;1,0;        9,0;0,0;        0,0;9,0
1385;BOMBOM;UN;01/06/21;18:24:49;1/00018344;1,0;        6,0;0,0;        0,0;6,0
1097;MINI PUDIM;UN;01/06/21;18:24:49;1/00018344;3,0;        8,0;0,0;        0,0;24,0
1309;COCA COLA LT 350ML;UN;01/06/21;18:24:49;1/00018344;1,0;        5,0;0,0;        0,0;5,0
1039;BAURU;UN;01/06/21;18:24:49;1/00018344;2,0;        6,5;0,0;        0,0;13,0
1036;QUICHE;KG;01/06/21;18:24:49;1/00018344;0,17;        58,0;0,0;        0,0;9,86
1547;QUEIJO MUSSARELA ZERO LACTOSE CRIOULO 150G;UN;01/06/21;18:32:02;1/00018345;1,0;        10,5;0,0;        0,0;10,5
1982;QUEIJO MUSSARELA FATIADO AURORA 150G;UN;01/06/21;18:32:02;1/00018345;1,0;        8,5;0,0;        0,0;8,5
1982;QUEIJO MUSSARELA FATIADO AURORA 150G;UN;01/06/21;18:32:02;1/00018345;1,0;        8,5;0,0;        0,0;8,5
